gene	Sample_1-1	Sample_1-2	Sample_1-3	Sample_1-4	Sample_2-1	Sample_2-2	Sample_2-3	Sample_2-4
Gene_3753	1	0	0	1	1	2	0	1
Gene_3754	14	12	8	12	5	10	10	6
Gene_3755	75	40	52	65	58	34	44	66
Gene_3756	19	15	43	36	5	5	9	9
Gene_3757	2	2	1	2	0	0	0	1
Gene_3758	500572	529633	298892	391929	341644	367931	554651	590092
Gene_3759	67	57	50	102	58	78	76	74
Gene_3760	429	729	619	647	241	148	249	225
Gene_3761	1850	2182	1721	2348	1522	1784	2209	1725
Gene_3762	7	11	13	15	16	12	9	20
Gene_3763	108	161	142	107	38	43	23	56
Gene_3764	166	265	195	129	180	206	275	185
Gene_3765	771	1536	1080	1202	1093	1194	1487	1514
Gene_3766	203	218	139	221	176	253	298	320
Gene_3767	87	69	57	76	47	43	51	46
Gene_3768	18	13	8	13	14	16	9	8
Gene_3769	234	196	214	299	290	161	212	272
Gene_3770	54	81	43	27	49	53	42	74
Gene_3771	57	74	48	53	300	187	221	331
Gene_3772	1	4	5	6	4	3	3	3
Gene_3773	73	88	68	56	77	79	98	60
Gene_3774	16	33	14	12	21	29	20	18
Gene_3775	24	27	25	18	25	20	26	26
Gene_3776	20	20	37	9	33	22	13	22
Gene_3777	52049	64790	64087	54749	61817	63383	52679	36926
Gene_3778	1282	627	1455	872	3552	5797	2943	4526
Gene_3779	24	27	27	23	20	23	25	24
Gene_3780	25	18	17	22	10	6	7	5
Gene_3781	0	0	1	1	1	1	2	1
Gene_3782	6	9	7	3	2	4	3	6
Gene_3783	195	158	175	126	165	114	143	232
Gene_3784	28	50	34	69	137	149	143	132
Gene_3785	264	308	180	199	103	107	107	144
Gene_3786	689	614	845	831	249	261	319	321
Gene_3787	0	0	0	0	1	0	0	0
Gene_3788	32	17	15	24	17	6	19	30
Gene_3789	76	118	115	148	95	151	130	130
Gene_3790	846	786	655	761	3087	3381	2916	4317
Gene_3791	10	5	5	6	6	8	5	10
Gene_3792	50	44	74	46	70	46	50	56
Gene_3793	1571	1277	1873	1725	1691	1580	1277	975
Gene_3794	14	16	12	8	9	5	14	19
Gene_3795	27	26	35	26	26	39	20	23
Gene_3796	89	79	114	81	115	118	56	118
Gene_3797	38	46	53	47	30	55	57	60
Gene_3798	2642	1395	1955	1570	1917	2857	3218	2406
Gene_3799	294	463	312	402	357	308	549	320
Gene_3800	3	1	3	1	0	1	2	0
Gene_3801	149	236	148	98	183	128	103	130
Gene_3802	22	14	22	10	11	9	12	15
Gene_3803	33	52	41	36	58	42	27	67
Gene_3804	3	1	2	2	1	1	2	2
Gene_3805	1592	2048	1693	1551	1806	1968	2141	2043
Gene_3806	11	21	18	19	12	22	15	7
Gene_3807	131	160	164	232	123	234	212	239
Gene_3808	4550	3543	5229	4777	4276	3900	4040	4851
Gene_3809	4	3	1	7	4	2	3	2
Gene_3810	28	37	25	15	38	19	20	45
Gene_3811	88	111	86	92	63	99	55	116
Gene_3812	7463	7289	7327	8299	9012	13517	9639	10680
Gene_3813	28	38	25	38	30	18	21	14
Gene_3814	186	247	89	162	144	180	220	174
Gene_3815	36	48	26	31	25	27	22	26
Gene_3816	1	0	0	0	1	4	5	3
Gene_3817	3496	2813	3104	4306	4200	4384	4118	2844
Gene_3818	1309	863	1281	1057	997	1177	1646	1536
Gene_3819	86	55	75	97	63	73	84	64
Gene_3820	82357	111796	90995	129414	98208	120671	105858	108634
Gene_3821	34	29	28	35	53	28	41	44
Gene_3822	49	40	36	26	24	30	36	33
Gene_3823	10	14	14	8	7	5	16	14
Gene_3824	76	95	87	77	86	82	61	88
Gene_3825	1600	1205	983	950	1245	1159	1211	1341
Gene_3826	6	7	5	9	10	6	12	14
Gene_3827	227	211	203	146	134	157	200	173
Gene_3828	1178	810	1606	816	1147	1437	936	1318
Gene_3829	28	21	26	24	24	37	18	34
Gene_3830	1	0	3	0	1	2	0	3
Gene_3831	26	38	66	37	44	38	67	47
Gene_3832	173	176	164	283	188	195	132	197
Gene_3833	110	122	76	124	103	70	83	82
Gene_3834	3	3	1	4	1	2	3	0
Gene_3835	925	987	1026	814	978	969	942	961
Gene_3836	1115	1155	1147	813	909	1024	1007	1072
Gene_3837	6	4	9	10	31	32	26	24
Gene_3838	9	6	11	9	4	3	7	7
Gene_3839	9	22	14	15	10	10	24	17
Gene_3840	2	0	2	0	1	2	0	3
Gene_3841	55	54	58	65	13	25	15	15
Gene_3842	151	222	84	153	179	220	134	147
Gene_3843	4	12	6	10	7	4	6	8
Gene_3844	13	9	10	14	4	12	1	3
Gene_3845	17	20	25	16	20	16	9	16
Gene_3846	19	15	12	15	20	21	28	16
Gene_3847	4	4	0	2	2	9	1	2
Gene_3848	635	776	775	885	476	592	590	529
Gene_3849	31	23	19	26	20	30	20	29
Gene_3850	396	261	211	243	147	73	93	112
Gene_3851	34	46	51	68	69	53	48	49
Gene_3852	22	30	23	25	37	26	32	29
Gene_3853	152	150	245	152	250	317	153	196
Gene_3854	1	2	1	0	2	3	0	0
Gene_3855	13	12	20	23	26	13	12	9
Gene_3856	37	52	59	71	44	70	68	55
Gene_3857	230	317	321	503	390	207	275	358
Gene_3858	3	2	0	0	0	0	0	1
Gene_3859	344	214	307	355	127	89	68	127
Gene_3860	38	43	59	39	41	38	47	56
Gene_3861	91	115	99	125	128	118	78	144
Gene_3862	12	20	28	21	20	14	20	15
Gene_3863	1	0	0	0	0	2	0	1
Gene_3864	4	2	3	4	3	5	5	5
Gene_3865	206	147	87	110	72	151	142	111
Gene_3866	3	8	5	1	1	5	4	1
Gene_3867	75	76	52	42	33	25	15	35
Gene_3868	458	462	477	349	467	403	464	515
Gene_3869	23	33	30	37	45	37	20	28
Gene_3870	271	319	339	398	376	420	400	420
Gene_3871	6734	6936	8551	6921	5449	5824	5333	7082
Gene_3872	3	2	0	0	0	0	2	0
Gene_3873	6	13	9	7	5	8	4	12
Gene_3874	30	50	54	47	80	44	40	45
Gene_3875	12	17	14	12	25	23	13	17
Gene_3876	192	152	148	140	149	125	134	185
Gene_3877	3	4	5	4	2	4	3	2
Gene_3878	11	9	13	22	58	54	60	39
Gene_3879	984	994	1397	1372	720	642	573	600
Gene_3880	0	2	0	0	5	5	2	5
Gene_3881	782	889	1152	1206	904	1133	1040	1083
Gene_3882	50	25	46	33	31	58	39	45
Gene_3883	6	13	20	9	15	5	14	14
Gene_3884	273	442	266	207	360	261	303	261
Gene_3885	31	36	28	44	153	140	142	130
Gene_3886	81	95	82	88	131	134	100	152
Gene_3887	14341	11472	10797	9682	9926	13859	7891	7120
Gene_3888	11	6	8	13	6	1	7	4
Gene_3889	0	0	0	2	0	0	2	0
Gene_3890	3811	3342	5694	4075	3830	4438	6992	3868
Gene_3891	5	1	4	2	4	1	2	4
Gene_3892	252	216	208	149	240	141	194	196
Gene_3893	5	6	4	3	5	13	5	15
Gene_3894	212	250	158	201	210	206	148	151
Gene_3895	359	205	229	129	141	124	183	203
Gene_3896	25	13	31	29	28	18	40	35
Gene_3897	18	11	30	15	12	26	15	18
Gene_3898	0	1	1	3	2	6	4	3
Gene_3899	137	175	202	185	189	307	162	254
Gene_3900	206696	265484	270419	268559	132677	253909	219718	147915
Gene_3901	728	1044	647	768	333	177	259	147
Gene_3902	19	9	6	14	89	69	71	75
Gene_3903	113	148	146	179	570	630	641	704
Gene_3904	1	1	1	2	2	3	2	1
Gene_3905	0	2	0	1	0	0	0	1
Gene_3906	39110	56222	41281	30570	38389	55018	46704	36091
Gene_3907	14	7	8	12	9	12	1	11
Gene_3908	1907	1643	2135	1741	1749	766	1980	1697
Gene_3909	0	0	0	0	0	0	0	0
Gene_3910	1	0	0	0	0	0	1	0
Gene_3911	368	266	602	578	184	221	151	88
Gene_3912	15	22	25	11	1	2	7	8
Gene_3913	50	65	42	66	54	61	73	53
Gene_3914	204	359	447	239	1044	1365	954	1784
Gene_3915	167	129	134	118	135	85	121	123
Gene_3916	5	3	3	2	1	1	1	1
Gene_3917	10	5	6	3	6	7	3	5
Gene_3918	3	4	1	2	7	3	3	2
Gene_3919	0	0	0	1	0	0	0	0
Gene_3920	0	0	1	2	0	0	1	1
Gene_3921	6	3	7	5	6	1	5	11
Gene_3922	0	1	1	0	0	0	0	0
Gene_3923	1	4	7	2	3	5	7	1
Gene_3924	198	237	297	208	320	236	241	254
Gene_3925	2685	3213	2405	2596	1874	2514	2716	3218
Gene_3926	98	106	186	101	98	101	116	125
Gene_3927	66	39	41	32	53	64	35	61
Gene_3928	370	301	269	396	345	316	309	357
Gene_3929	169	221	153	134	99	178	175	142
Gene_3930	2385	1821	1365	1827	569	729	423	786
Gene_3931	36	53	21	64	31	46	26	37
Gene_3932	146	258	137	130	145	183	215	213
Gene_3933	391	419	607	361	373	277	348	367
Gene_3934	1251	1696	1272	1623	4221	5242	5426	4719
Gene_3935	25	32	53	51	34	48	42	25
Gene_3936	1	3	2	1	0	1	2	1
Gene_3937	14	17	17	19	19	17	24	26
Gene_3938	4813	3418	4924	4660	4074	6481	6130	4776
Gene_3939	17344	13572	17985	9390	9678	9890	10994	11600
Gene_3940	59	71	64	58	76	83	92	77
Gene_3941	212076	177675	196830	207513	210741	207626	197523	204339
Gene_3942	6	13	6	8	8	10	3	5
Gene_3943	48216	27379	45644	28905	30781	28210	36075	28542
Gene_3944	1577	1797	2902	2736	2148	1954	2765	2094
Gene_3945	3759	2889	3226	1547	2063	3462	1306	2969
Gene_3946	3	6	4	6	25	14	17	27
Gene_3947	549	620	1153	1071	1111	827	922	953
Gene_3948	5723	5417	3687	5721	6434	6401	4578	5214
Gene_3949	35	24	19	21	20	13	12	27
Gene_3950	13	16	22	21	15	18	23	18
Gene_3951	0	1	0	1	1	2	2	0
Gene_3952	1	0	1	0	1	6	7	5
Gene_3953	800	1058	780	781	1138	708	693	586
Gene_3954	2537	2353	2156	1943	2453	2143	2351	1893
Gene_3955	141	227	149	208	168	229	116	181
Gene_3956	1430	1570	808	1536	1235	1668	1806	2029
Gene_3957	16	14	9	20	0	8	6	3
Gene_3958	894	925	938	752	757	916	1286	935
Gene_3959	79	105	78	103	320	279	417	227
Gene_3960	62	58	23	37	47	51	39	63
Gene_3961	3091	3134	4470	2695	4421	3907	3622	2436
Gene_3962	1699	1679	2047	3303	2052	2512	2092	2330
Gene_3963	1452	995	662	955	852	1072	1037	1013
Gene_3964	4	18	12	5	19	14	24	11
Gene_3965	792	469	695	656	522	662	597	625
Gene_3966	16	12	20	17	25	14	36	28
Gene_3967	2	3	0	3	3	4	2	2
Gene_3968	11636	10898	9412	9809	14555	14301	13966	13209
Gene_3969	9	7	9	10	8	9	7	12
Gene_3970	199	105	193	207	104	197	227	160
Gene_3971	15	22	12	19	53	75	70	53
Gene_3972	257	373	522	209	397	249	292	277
Gene_3973	38	56	55	52	31	31	48	45
Gene_3974	0	0	0	0	0	0	1	0
Gene_3975	480	755	440	441	588	308	289	375
Gene_3976	5	4	2	2	4	3	1	2
Gene_3977	15	14	8	11	11	8	14	14
Gene_3978	20	34	32	25	20	27	44	36
Gene_3979	1168	1144	989	1472	630	1487	1111	1023
Gene_3980	18649	16633	18820	10590	19460	8205	14021	10395
Gene_3981	788	738	478	628	545	509	617	580
Gene_3982	10	6	10	12	15	10	10	7
Gene_3983	2079	2559	2152	2233	2530	2503	2831	2660
Gene_3984	14	8	13	7	14	8	7	9
Gene_3985	152	141	112	111	161	139	144	152
Gene_3986	1	0	1	0	0	0	0	0
Gene_3987	89	56	50	60	57	72	69	45
Gene_3988	18	22	25	17	28	17	16	20
Gene_3989	1226	1053	1586	1573	874	1270	1133	1162
Gene_3990	0	1	0	0	1	0	2	1
Gene_3991	0	0	0	0	0	0	0	0
Gene_3992	393	417	382	355	426	282	355	390
Gene_3993	338	369	454	216	139	88	95	127
Gene_3994	0	0	0	0	0	0	0	0
Gene_3995	1	1	1	0	0	1	0	1
Gene_3996	3	3	1	3	3	3	0	1
Gene_3997	5	3	6	3	0	1	1	0
Gene_3998	2	3	0	0	2	0	2	2
Gene_3999	153	117	59	61	59	68	129	71
Gene_4000	15328	9385	12376	9877	11438	13894	8684	16494
Gene_4001	0	3	0	0	0	1	1	1
Gene_4002	5	4	2	1	18	15	11	8
Gene_4003	3	1	1	0	3	2	1	3
Gene_4004	51	25	44	71	49	56	46	90
Gene_4005	715	807	462	595	453	596	472	631
Gene_4006	169125	137823	61603	94202	124806	77676	105643	99845
Gene_4007	177	185	137	202	186	259	167	159
Gene_4008	5	7	5	10	6	6	10	6
Gene_4009	34	35	42	64	19	17	28	19
Gene_4010	7251	6471	7241	5882	2852	2778	2769	3068
Gene_4011	32	18	7	24	25	31	18	9
Gene_4012	4	5	10	2	5	7	5	0
Gene_4013	2661	2720	2554	3222	2200	2917	3621	2876
Gene_4014	583	703	654	888	542	875	700	589
Gene_4015	0	0	0	0	0	0	0	1
Gene_4016	10236	7645	6749	5612	11888	11630	11207	14868
Gene_4017	73	57	62	100	95	102	97	57
Gene_4018	3	4	2	0	1	3	1	1
Gene_4019	52	72	49	69	53	48	51	47
Gene_4020	77	53	50	60	88	53	72	58
Gene_4021	9	1	3	3	6	5	3	7
Gene_4022	246	579	408	312	415	374	370	204
Gene_4023	2614	4607	5161	2348	4055	5633	3063	3912
Gene_4024	183	197	258	178	158	97	106	74
Gene_4025	4	2	2	3	3	4	4	3
Gene_4026	12	10	15	15	13	14	10	11
Gene_4027	0	1	0	0	0	0	0	0
Gene_4028	218	259	345	294	253	175	286	293
Gene_4029	2	5	2	2	1	3	2	4
Gene_4030	509	421	581	533	392	446	511	560
Gene_4031	0	0	0	0	0	0	1	0
Gene_4032	38748	81727	45006	56041	73929	42342	38805	51354
Gene_4033	10	10	7	7	31	28	31	12
Gene_4034	93	146	187	110	191	102	96	174
Gene_4035	5417	6289	4225	3632	6602	3324	3047	6511
Gene_4036	160	227	212	231	781	628	1122	509
Gene_4037	442	450	411	655	518	536	336	520
Gene_4038	0	0	2	0	0	0	0	1
Gene_4039	170	166	209	98	111	153	209	168
Gene_4040	50	54	42	27	32	53	46	43
Gene_4041	0	1	2	0	0	0	1	1
Gene_4042	1376	1233	1541	1013	1904	1956	1494	1201
Gene_4043	15	33	30	42	38	24	30	23
Gene_4044	42	26	26	47	49	33	24	12
Gene_4045	61	100	54	67	306	351	356	309
Gene_4046	5	6	9	9	37	45	58	40
Gene_4047	72	117	75	114	53	62	107	105
Gene_4048	334	293	263	359	295	355	324	179
Gene_4049	3	4	6	8	3	11	4	5
Gene_4050	2137	1501	1676	2014	1880	1684	1866	2577
Gene_4051	473	446	364	506	346	389	408	410
Gene_4052	250	406	265	467	134	119	116	83
Gene_4053	153	147	189	182	246	229	194	240
Gene_4054	91	112	124	107	50	48	27	83
Gene_4055	1036	1042	984	960	994	819	1052	1333
Gene_4056	4	7	17	11	18	16	9	3
Gene_4057	1	5	3	1	2	0	4	0
Gene_4058	18	23	17	10	23	5	20	14
Gene_4059	22	20	9	18	16	14	13	22
Gene_4060	11	19	22	21	6	3	3	7
Gene_4061	1149	942	1398	1557	4884	4356	5268	4572
Gene_4062	678	536	733	657	539	637	765	622
Gene_4063	150	180	179	176	220	195	124	109
Gene_4064	57	17	35	64	34	52	40	35
Gene_4065	600	507	568	645	552	683	447	494
Gene_4066	3	2	3	2	1	0	1	0
Gene_4067	6908	9097	5378	7878	6684	5890	6056	4235
Gene_4068	14	32	13	22	18	21	23	23
Gene_4069	15720	15633	23752	22050	12536	16916	13748	20390
Gene_4070	24	19	28	26	24	44	20	26
Gene_4071	2734	3972	3413	4251	16523	19323	13711	12128
Gene_4072	8	6	8	4	11	12	5	10
Gene_4073	3405	2232	2560	2324	4146	3419	2613	3840
Gene_4074	289	239	251	153	217	244	242	309
Gene_4075	5	8	5	7	4	9	5	7
Gene_4076	16	19	29	10	23	12	30	37
Gene_4077	49	27	34	35	46	46	47	45
Gene_4078	48	36	35	29	60	50	97	34
Gene_4079	19	6	19	18	19	19	14	20
Gene_4080	96008	119636	132333	134370	98396	113965	85884	104220
Gene_4081	5	3	8	5	3	8	0	5
Gene_4082	8	15	10	9	8	7	5	10
Gene_4083	391	271	270	255	254	363	345	301
Gene_4084	1465	2562	1614	2078	2025	1439	1475	1571
Gene_4085	52	65	69	68	15	14	21	19
Gene_4086	28	20	32	31	11	12	5	10
Gene_4087	269	246	291	341	310	362	323	233
Gene_4088	3064	2941	2080	3073	3336	2765	2658	2047
Gene_4089	34	41	42	26	8	12	13	17
Gene_4090	53	67	41	52	58	52	48	73
Gene_4091	61	67	75	51	48	73	47	47
Gene_4092	210	177	179	173	166	160	191	151
Gene_4093	1	2	2	2	2	4	2	2
Gene_4094	6	11	0	3	11	9	7	5
Gene_4095	151	206	162	175	181	209	134	219
Gene_4096	0	3	0	0	0	0	0	0
Gene_4097	527	517	502	407	563	526	458	442
Gene_4098	6	3	4	5	1	5	7	5
Gene_4099	560	544	626	587	591	546	711	588
Gene_4100	3633	4038	2069	2187	2800	3042	2995	2841
Gene_4101	523	542	570	696	259	191	195	167
Gene_4102	44832	49273	56468	75510	34402	42477	32933	43021
Gene_4103	9	12	7	8	10	6	6	6
Gene_4104	322	262	541	433	1523	1339	1690	1428
Gene_4105	36	18	17	23	19	20	32	22
Gene_4106	803	483	460	645	449	591	654	608
Gene_4107	8	5	20	6	18	7	15	12
Gene_4108	16	22	15	16	18	6	6	12
Gene_4109	284	272	253	201	184	239	265	172
Gene_4110	26	47	58	31	53	29	24	42
Gene_4111	7	9	12	14	11	12	10	4
Gene_4112	24302	20865	26899	21769	17925	21758	29158	23211
Gene_4113	8	7	5	7	3	6	10	2
Gene_4114	0	0	0	0	0	0	0	0
Gene_4115	37	30	37	36	54	41	40	49
Gene_4116	5	7	3	5	8	3	6	4
Gene_4117	19	18	25	6	8	11	12	10
Gene_4118	1	2	2	0	0	1	0	0
Gene_4119	1569	1309	2284	1693	1754	1529	1485	1040
Gene_4120	7	4	3	6	10	10	8	8
Gene_4121	1868	2281	1670	1487	2161	2934	2022	1458
Gene_4122	973	1080	795	738	698	873	747	686
Gene_4123	30918	32609	48012	27887	43224	38162	34407	32789
Gene_4124	187	167	136	318	110	291	120	279
Gene_4125	15667	13645	13812	17981	14082	20506	13494	9491
Gene_4126	171	240	206	180	185	124	163	134
Gene_4127	10	10	17	9	21	6	6	8
Gene_4128	0	0	1	1	1	0	0	0
Gene_4129	4966	3867	4033	5621	1846	1327	2269	2560
Gene_4130	18	55	54	45	11	21	10	25
Gene_4131	7	5	14	10	8	8	6	5
Gene_4132	0	4	3	6	3	3	3	3
Gene_4133	0	0	0	0	0	0	0	0
Gene_4134	7	8	1	5	0	0	4	1
Gene_4135	2	1	1	1	2	1	1	0
Gene_4136	19	9	14	7	6	10	19	11
Gene_4137	1	3	3	4	1	1	0	3
Gene_4138	506	384	347	342	665	447	445	648
Gene_4139	115	116	113	87	185	94	114	113
Gene_4140	25	13	29	29	32	25	18	18
Gene_4141	478	402	449	461	534	347	685	207
Gene_4142	929	896	1073	877	673	1090	864	959
Gene_4143	14	36	27	18	24	29	15	27
Gene_4144	0	0	1	0	0	0	1	0
Gene_4145	0	0	0	0	0	0	0	1
Gene_4146	9	7	7	4	4	8	4	4
Gene_4147	13491	16850	15156	13081	11645	9158	10641	7562
Gene_4148	315	239	249	302	281	202	337	206
Gene_4149	3	8	9	6	0	1	0	4
Gene_4150	22	12	12	15	22	8	13	13
Gene_4151	1	0	0	2	0	0	0	0
Gene_4152	55	82	93	75	320	201	320	226
Gene_4153	185	156	159	156	52	49	59	38
Gene_4154	3725	2837	2935	2303	3191	2465	2037	2077
Gene_4155	212	247	314	306	353	371	414	327
Gene_4156	38	35	42	43	29	42	35	36
Gene_4157	2346	3016	2807	2884	1375	3310	3079	4012
Gene_4158	144	122	100	105	141	90	59	132
Gene_4159	16	16	13	1	17	8	9	8
Gene_4160	29	21	29	18	32	21	22	26
Gene_4161	36	36	28	32	16	26	32	31
Gene_4162	2	2	2	4	1	2	0	0
Gene_4163	101	127	202	228	792	736	433	644
Gene_4164	13	12	5	7	11	9	11	17
Gene_4165	462	489	325	564	436	615	411	386
Gene_4166	8	9	11	7	9	12	8	11
Gene_4167	78	120	94	94	75	85	79	114
Gene_4168	76	84	73	80	58	84	84	44
Gene_4169	87	53	51	58	247	267	221	168
Gene_4170	1	1	0	2	0	3	1	1
Gene_4171	101	109	165	169	99	72	115	146
Gene_4172	49	91	56	88	55	65	47	51
Gene_4173	74	53	67	85	71	61	74	82
Gene_4174	62	80	59	57	72	57	38	64
Gene_4175	113	95	74	71	68	57	52	82
Gene_4176	0	1	0	3	2	4	0	0
Gene_4177	56	57	67	57	40	47	54	54
Gene_4178	28	10	7	15	6	3	2	11
Gene_4179	3	3	7	2	9	12	7	19
Gene_4180	82	83	76	57	72	62	60	66
Gene_4181	17532	14278	6765	15351	12895	15378	11086	11002
Gene_4182	11	5	9	1	13	2	11	5
Gene_4183	1568	1029	1648	1853	2052	997	1775	1857
Gene_4184	211	223	174	172	193	270	203	137
Gene_4185	2	0	1	1	6	4	2	5
Gene_4186	13591	13021	15880	14120	23080	19012	26813	19769
Gene_4187	3057	3342	2340	4007	1364	1397	578	929
Gene_4188	18	15	22	16	18	8	15	19
Gene_4189	205559	141046	129677	141067	33786	29696	34267	31456
Gene_4190	807	651	1244	1296	4400	5011	4260	6139
Gene_4191	11	23	7	11	19	14	1	13
Gene_4192	950	800	778	794	2514	2522	3223	5190
Gene_4193	40	35	48	53	26	69	39	47
Gene_4194	298	237	177	186	309	344	328	327
Gene_4195	190	83	104	147	106	116	91	165
Gene_4196	0	3	1	0	0	0	0	1
Gene_4197	158	187	171	240	355	352	183	286
Gene_4198	1	0	1	1	1	0	0	2
Gene_4199	43	36	35	29	43	43	36	44
Gene_4200	26	62	26	27	39	33	56	49
Gene_4201	6	15	9	4	19	10	15	11
Gene_4202	8	2	2	4	3	4	15	13
Gene_4203	174	208	233	188	966	1116	982	643
Gene_4204	0	1	0	0	1	1	0	1
Gene_4205	297264	261291	348751	410756	379886	486145	462278	275192
Gene_4206	129	79	157	171	136	153	168	138
Gene_4207	0	0	0	1	1	1	0	0
Gene_4208	75	59	77	76	101	90	68	66
Gene_4209	89	52	56	34	67	46	93	28
Gene_4210	72813	87261	67388	95918	72170	83913	109235	116701
Gene_4211	5	3	12	0	12	17	17	13
Gene_4212	3	2	2	2	1	2	2	1
Gene_4213	25	12	33	22	25	30	32	24
Gene_4214	3	2	5	5	7	10	22	15
Gene_4215	116	168	233	164	118	156	172	84
Gene_4216	843	1188	885	1074	987	1338	675	922
Gene_4217	170	167	117	208	179	188	200	194
Gene_4218	472	629	525	414	472	472	558	665
Gene_4219	90	99	92	82	82	79	162	76
Gene_4220	296	318	386	381	322	357	520	438
Gene_4221	8079	5482	6713	4702	7599	4064	7548	5166
Gene_4222	9469	9669	14273	18489	9575	13301	9486	11262
Gene_4223	73	42	101	90	25	31	32	36
Gene_4224	4161	6066	4040	5328	14569	27262	26276	21628
Gene_4225	6971	4695	5574	3711	5659	5978	7140	4435
Gene_4226	192706	135133	144772	150129	600976	535990	655547	503513
Gene_4227	1192	961	1150	826	912	689	1785	1012
Gene_4228	146	261	139	154	148	269	133	234
Gene_4229	4320	4329	3304	3366	3586	6249	3777	3343
Gene_4230	2	2	3	4	4	2	3	1
Gene_4231	24	17	11	33	17	42	20	21
Gene_4232	50	50	53	52	48	56	38	104
Gene_4233	5	4	4	1	6	5	7	4
Gene_4234	5027	4087	2169	2284	1246	825	939	717
Gene_4235	872	931	1034	995	1343	1042	563	700
Gene_4236	12	15	4	20	4	0	2	3
Gene_4237	876	1334	1131	1454	1380	1754	1126	768
Gene_4238	159	248	143	152	244	158	131	167
Gene_4239	0	1	0	1	0	0	1	0
Gene_4240	321	340	230	367	405	294	245	448
Gene_4241	1581	1667	1354	1829	1933	1684	2030	2446
Gene_4242	43	49	23	39	33	35	34	30
Gene_4243	47	47	33	21	53	61	36	33
Gene_4244	3904	3609	4214	3756	5346	5929	4777	4017
Gene_4245	0	0	0	0	0	0	2	0
Gene_4246	24	26	21	28	19	22	26	16
Gene_4247	3284	2376	3717	4138	4957	4870	5258	5503
Gene_4248	55	42	23	25	121	186	124	141
Gene_4249	1	1	1	1	2	0	0	3
Gene_4250	47	36	40	42	66	32	33	48
Gene_4251	6	13	17	19	9	12	13	9
Gene_4252	119	192	230	147	263	107	124	143
Gene_4253	255	197	324	236	296	248	277	227
Gene_4254	27	87	41	59	54	34	48	43
Gene_4255	2	6	6	4	5	4	7	7
Gene_4256	9016	4412	5157	9441	4175	7339	7308	7995
Gene_4257	595	479	442	601	600	442	598	475
Gene_4258	342	277	346	224	335	412	465	145
Gene_4259	2061	3137	1949	1733	2761	2311	3034	2979
Gene_4260	72	74	61	40	90	103	77	71
Gene_4261	18	4	11	9	7	5	10	10
Gene_4262	49	63	63	71	53	49	62	64
Gene_4263	4	7	6	11	14	6	6	7
Gene_4264	12	7	4	5	4	7	5	5
Gene_4265	149	227	224	144	185	112	162	263
Gene_4266	1883	2906	1879	1192	1790	1971	1716	899
Gene_4267	136964	134425	129262	146898	144771	90458	133542	160952
Gene_4268	20677	23030	27902	24563	26097	13817	21930	33453
Gene_4269	0	0	0	1	0	0	0	1
Gene_4270	34	26	29	62	17	34	34	53
Gene_4271	2239	1766	2615	2254	1825	2242	2934	1623
Gene_4272	0	1	0	2	0	1	0	0
Gene_4273	9	4	9	5	10	6	7	6
Gene_4274	1	1	0	0	0	0	1	0
Gene_4275	8	27	36	13	17	33	19	30
Gene_4276	743	635	691	747	926	709	1260	930
Gene_4277	13	20	23	21	9	26	26	45
Gene_4278	195	207	118	188	120	234	220	148
Gene_4279	282	165	270	236	197	178	241	214
Gene_4280	142	117	81	126	109	126	157	107
Gene_4281	95	146	142	111	126	82	113	91
Gene_4282	73	102	111	122	80	170	76	65
Gene_4283	73	94	145	186	85	165	162	117
Gene_4284	69	102	80	155	79	74	76	70
Gene_4285	45	33	19	37	16	49	27	34
Gene_4286	760	477	539	841	857	609	716	996
Gene_4287	232	336	230	326	215	288	253	191
Gene_4288	49	65	50	68	22	22	12	24
Gene_4289	1162	1107	1700	1602	1553	1955	1580	1809
Gene_4290	933	905	891	925	1001	886	696	921
Gene_4291	32	34	39	28	27	32	26	25
Gene_4292	34	33	28	29	23	24	28	20
Gene_4293	35	40	36	55	40	36	40	44
Gene_4294	485	578	543	566	643	652	967	458
Gene_4295	82	67	61	77	29	23	34	21
Gene_4296	172	152	170	122	140	217	173	125
Gene_4297	20	37	17	12	41	21	19	26
Gene_4298	236	249	292	252	228	204	511	288
Gene_4299	2924	2130	2495	1482	2688	1459	3380	1959
Gene_4300	707	842	843	920	3799	4261	3999	3322
Gene_4301	41	55	51	52	45	73	62	81
Gene_4302	750	652	548	1035	869	922	768	901
Gene_4303	569	789	1011	976	1176	897	905	733
Gene_4304	0	0	0	1	0	0	0	0
Gene_4305	2	0	2	0	3	3	5	1
Gene_4306	926	633	790	997	833	914	658	1161
Gene_4307	394	408	435	525	406	478	372	530
Gene_4308	2	0	5	0	1	2	4	0
Gene_4309	499	715	371	573	916	741	531	246
Gene_4310	38	36	39	33	32	25	16	19
Gene_4311	158	155	187	253	219	229	188	199
Gene_4312	21	31	31	30	21	42	28	16
Gene_4313	33	62	36	34	43	22	55	34
Gene_4314	32	37	36	17	27	29	28	20
Gene_4315	656	685	808	500	665	744	778	723
Gene_4316	6	2	5	3	2	6	4	2
Gene_4317	422	376	410	334	388	412	479	425
Gene_4318	6148	7384	4397	5297	8560	4468	7159	3593
Gene_4319	954	1032	992	1224	603	717	710	984
Gene_4320	6	7	10	4	13	4	12	8
Gene_4321	504590	379492	385192	354328	1519339	1289719	954285	1549086
